alleg[V][Opt][NEG][2Sg][1Du]	allefqaamtung
alleg[V][Opt][NEG][2Sg][1Pl]	allefqaamta
alleg[V][Opt][NEG][2Sg][1Sg]	allefqaama
alleg[V][Opt][NEG][2Sg][3Du]	allefqaagkenka
alleg[V][Opt][NEG][2Sg][3Pl]	allefqiita
alleg[V][Opt][NEG][2Sg][3Sg]	allefqaan
aqfa[V][Opt][NEG][2Sg][1Du]	aqfafqaamtung
aqfa[V][Opt][NEG][2Sg][1Pl]	aqfafqaamta
aqfa[V][Opt][NEG][2Sg][1Sg]	aqfafqaama
aqfa[V][Opt][NEG][2Sg][3Du]	aqfafqaagkenka
aqfa[V][Opt][NEG][2Sg][3Pl]	aqfafqiita
aqfa[V][Opt][NEG][2Sg][3Sg]	aqfafqaan
egte[V][Opt][NEG][2Sg][1Du]	egtefqaamtung
egte[V][Opt][NEG][2Sg][1Pl]	egtefqaamta
egte[V][Opt][NEG][2Sg][1Sg]	egtefqaama
egte[V][Opt][NEG][2Sg][3Du]	egtefqaagkenka
egte[V][Opt][NEG][2Sg][3Pl]	egtefqiita
egte[V][Opt][NEG][2Sg][3Sg]	egtefqaan
gaagh[V][Opt][NEG][2Sg][1Du]	gaafqaamtung
gaagh[V][Opt][NEG][2Sg][1Pl]	gaafqaamta
gaagh[V][Opt][NEG][2Sg][1Sg]	gaafqaama
gaagh[V][Opt][NEG][2Sg][3Du]	gaafqaagkenka
gaagh[V][Opt][NEG][2Sg][3Pl]	gaafqiita
gaagh[V][Opt][NEG][2Sg][3Sg]	gaafqaan
kaaw[V][Opt][NEG][2Sg][1Du]	kaafqaamtung
kaaw[V][Opt][NEG][2Sg][1Pl]	kaafqaamta
kaaw[V][Opt][NEG][2Sg][1Sg]	kaafqaama
kaaw[V][Opt][NEG][2Sg][3Du]	kaafqaagkenka
kaaw[V][Opt][NEG][2Sg][3Pl]	kaafqiita
kaaw[V][Opt][NEG][2Sg][3Sg]	kaafqaan
kayusigh[V][Opt][NEG][2Sg][1Du]	kayusifqaamtung
kayusigh[V][Opt][NEG][2Sg][1Pl]	kayusifqaamta
kayusigh[V][Opt][NEG][2Sg][1Sg]	kayusifqaama
kayusigh[V][Opt][NEG][2Sg][3Du]	kayusifqaagkenka
kayusigh[V][Opt][NEG][2Sg][3Pl]	kayusifqiita
kayusigh[V][Opt][NEG][2Sg][3Sg]	kayusifqaan
lata[V][Opt][NEG][2Sg][1Du]	latafqaamtung
lata[V][Opt][NEG][2Sg][1Pl]	latafqaamta
lata[V][Opt][NEG][2Sg][1Sg]	latafqaama
lata[V][Opt][NEG][2Sg][3Du]	latafqaagkenka
lata[V][Opt][NEG][2Sg][3Pl]	latafqiita
lata[V][Opt][NEG][2Sg][3Sg]	latafqaan
liite[V][Opt][NEG][2Sg][1Du]	liitefqaamtung
liite[V][Opt][NEG][2Sg][1Pl]	liitefqaamta
liite[V][Opt][NEG][2Sg][1Sg]	liitefqaama
liite[V][Opt][NEG][2Sg][3Du]	liitefqaagkenka
liite[V][Opt][NEG][2Sg][3Pl]	liitefqiita
liite[V][Opt][NEG][2Sg][3Sg]	liitefqaan
nagate[V][Opt][NEG][2Sg][1Du]	nagatefqaamtung
nagate[V][Opt][NEG][2Sg][1Pl]	nagatefqaamta
nagate[V][Opt][NEG][2Sg][1Sg]	nagatefqaama
nagate[V][Opt][NEG][2Sg][3Du]	nagatefqaagkenka
nagate[V][Opt][NEG][2Sg][3Pl]	nagatefqiita
nagate[V][Opt][NEG][2Sg][3Sg]	nagatefqaan
payegh[V][Opt][NEG][2Sg][1Du]	payefqaamtung
payegh[V][Opt][NEG][2Sg][1Pl]	payefqaamta
payegh[V][Opt][NEG][2Sg][1Sg]	payefqaama
payegh[V][Opt][NEG][2Sg][3Du]	payefqaagkenka
payegh[V][Opt][NEG][2Sg][3Pl]	payefqiita
payegh[V][Opt][NEG][2Sg][3Sg]	payefqaan
pugimagh[V][Opt][NEG][2Sg][1Du]	pugimafqaamtung
pugimagh[V][Opt][NEG][2Sg][1Pl]	pugimafqaamta
pugimagh[V][Opt][NEG][2Sg][1Sg]	pugimafqaama
pugimagh[V][Opt][NEG][2Sg][3Du]	pugimafqaagkenka
pugimagh[V][Opt][NEG][2Sg][3Pl]	pugimafqiita
pugimagh[V][Opt][NEG][2Sg][3Sg]	pugimafqaan
pumsug[V][Opt][NEG][2Sg][1Du]	pumsufqaamtung
pumsug[V][Opt][NEG][2Sg][1Pl]	pumsufqaamta
pumsug[V][Opt][NEG][2Sg][1Sg]	pumsufqaama
pumsug[V][Opt][NEG][2Sg][3Du]	pumsufqaagkenka
pumsug[V][Opt][NEG][2Sg][3Pl]	pumsufqiita
pumsug[V][Opt][NEG][2Sg][3Sg]	pumsufqaan
qelpeghte[V][Opt][NEG][2Sg][1Du]	qelpeghtefqaamtung
qelpeghte[V][Opt][NEG][2Sg][1Pl]	qelpeghtefqaamta
qelpeghte[V][Opt][NEG][2Sg][1Sg]	qelpeghtefqaama
qelpeghte[V][Opt][NEG][2Sg][3Du]	qelpeghtefqaagkenka
qelpeghte[V][Opt][NEG][2Sg][3Pl]	qelpeghtefqiita
qelpeghte[V][Opt][NEG][2Sg][3Sg]	qelpeghtefqaan
tagite[V][Opt][NEG][2Sg][1Du]	tagitefqaamtung
tagite[V][Opt][NEG][2Sg][1Pl]	tagitefqaamta
tagite[V][Opt][NEG][2Sg][1Sg]	tagitefqaama
tagite[V][Opt][NEG][2Sg][3Du]	tagitefqaagkenka
tagite[V][Opt][NEG][2Sg][3Pl]	tagitefqiita
tagite[V][Opt][NEG][2Sg][3Sg]	tagitefqaan
tugu[V][Opt][NEG][2Sg][1Du]	tugufqaamtung
tugu[V][Opt][NEG][2Sg][1Pl]	tugufqaamta
tugu[V][Opt][NEG][2Sg][1Sg]	tugufqaama
tugu[V][Opt][NEG][2Sg][3Du]	tugufqaagkenka
tugu[V][Opt][NEG][2Sg][3Pl]	tugufqiita
tugu[V][Opt][NEG][2Sg][3Sg]	tugufqaan
tuqute[V][Opt][NEG][2Sg][1Du]	tuqutefqaamtung
tuqute[V][Opt][NEG][2Sg][1Pl]	tuqutefqaamta
tuqute[V][Opt][NEG][2Sg][1Sg]	tuqutefqaama
tuqute[V][Opt][NEG][2Sg][3Du]	tuqutefqaagkenka
tuqute[V][Opt][NEG][2Sg][3Pl]	tuqutefqiita
tuqute[V][Opt][NEG][2Sg][3Sg]	tuqutefqaan
umeg[V][Opt][NEG][2Sg][1Du]	umefqaamtung
umeg[V][Opt][NEG][2Sg][1Pl]	umefqaamta
umeg[V][Opt][NEG][2Sg][1Sg]	umefqaama
umeg[V][Opt][NEG][2Sg][3Du]	umefqaagkenka
umeg[V][Opt][NEG][2Sg][3Pl]	umefqiita
umeg[V][Opt][NEG][2Sg][3Sg]	umefqaan
